Serial Number,Student Name,Standard Name,Section Name,School Name,Date of Birth,Gender,Blood Group,Mobile,Email
1,UCHIT,Pre-KG,A,CBSE School,3/2/2014,male,A+,1111111111,uchit@cbseschool.com
2,ANITHAA H,Pre-KG,A,Demo School,3/1/2014,female,A1B+,1111111111,anithaa.h@demoschool.com
3,ANJAN SUHAS,Pre-KG,A,Trial School,5/2/2014,male,A1+,1111111111,anjan.suhas@trialschool.com
4,ANJANA J,Pre-KG,A,CBSE School,5/3/2014,female,B1+,1111111111,anjana.j@cbseschool.com
5,ANKITA JAIN,Pre-KG,A,Trial School,2/4/2014,female,A1B-,1111111111,ankita.jain@trialschool.com
6,ANKITHA M,Pre-KG,A,Trial School,1/3/2014,female,B2+,1111111111,ankitha.m@trialschool.com
7,ANNAMALAI VISHWANATH M,Pre-KG,A,Model School,12/12/2013,male,B2+,1111111111,ankitha.m@modelschool.com
8,ANNAPOORNA T,Pre-KG,A,Trial School,6/2/2014,female,AB+,1111111111,annapoorna.t@trialschool.com
9,ANUGRAHA S M,Pre-KG,A,Trial School,1/7/2014,female,B+,1111111111,anugraha.s.m@trialschool.com
10,ANUPRIYA A,Pre-KG,A,Model School,8/8/2014,female,O+,1111111111,anugraha.s.m@modelschool.com
11,BHARATH T,Pre-KG,A,Model School,1/9/2014,male,A2B+,1111111111,anupriya.a@modelschool.com
12,CHITHALA REDDY,Pre-KG,A,Trial School,6/2/2014,male,A1B+,1111111111,chithala.reddy@trialschool.com
13,KAMALA,Pre-KG,A,Model School,1/7/2014,female,O+,1111111111,chithala.reddy@modelschool.com
14,MONICA P,Pre-KG,A,CBSE School,6/2/2014,female,B1-,1111111111,monica.p@cbseschool.com
15,NAIR ADITYA,Pre-KG,A,CBSE School,3/2/2014,male,B1-,1111111111,nair.aditya@cbseschool.com
16,NAUTHAM,Pre-KG,A,Trial School,1/3/2014,male,A+,1111111111,nautham@trialschool.com
17,PREMAN SRUTHI SRI,Pre-KG,A,Model School,3/9/2014,female,AB2+,1111111111,nautham@modelschool.com
18,PRIADARSHNI A,Pre-KG,A,Model School,4/11/2014,female,A2B+,1111111111,preman.sruthi.sri@modelschool.com
19,PRITHVI SAI R,Pre-KG,A,Trial School,3/8/2014,male,A1B-,1111111111,prithvi.sai.r@trialschool.com
20,PRIYA HARI B,Pre-KG,A,Demo School,1/3/2014,female,AB2+,1111111111,priya.hari.b@demoschool.com
21,ANAND ABHAY P,Pre-KG,B,CBSE School,4/2/2013,male,A2+,1111111111,anand.abhay.p@cbseschool.com
22,ANJANA J,Pre-KG,B,Trial School,7/5/2013,female,A1-,1111111111,anjana.j@trialschool.com
23,DRAVIDA S R,Pre-KG,B,Model School,5/9/2013,male,AB+,1111111111,anjana.j@modelschool.com
24,GUPTA AAYUSH,Pre-KG,B,CBSE School,12/11/2013,male,AB-,1111111111,gupta.aayush@cbseschool.com
25,HUBERT HYACINTH ANGELA,Pre-KG,B,Demo School,4/8/2013,male,A-,1111111111,hubert.hyacinth.angela@demoschool.com
26,HUSSAIN AMEENUDDIN A,Pre-KG,B,Demo School,2/9/2013,male,AB+,1111111111,hussain.ameenuddin.a@demoschool.com
